stem,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,tags
"Which bone forms the medial wall of the orbit?","Ethmoid","Zygomatic","Sphenoid","Temporal",a,"Correct answer: Ethmoid. The orbital plate (lamina papyracea) of the ethmoid bone forms most of the medial wall of the orbit and is clinically important because it is thin and can fracture easily. Zygomatic is wrong because it mainly forms the lateral wall and cheek prominence, not the medial wall. Sphenoid contributes to the posterior and lateral orbital walls (greater wing) rather than the medial wall. Temporal does not form any significant part of the orbital walls; it is a lateral skull bone around the ear region.",EASY,anatomy;orbit;year1
"The brachial plexus is formed by which ventral rami?","C5–T1","C3–C7","C7–T3","C4–C8",a,"Correct answer: C5–T1. The brachial plexus is formed by the anterior (ventral) rami of spinal nerves C5, C6, C7, C8 and T1, which supply the upper limb. C3–C7 is incorrect because it includes cervical plexus roots and misses T1, which is essential for hand intrinsic muscles via the lower trunk. C7–T3 is wrong because it starts too low and includes thoracic roots that do not form the brachial plexus. C4–C8 is incomplete: it may include a prefixed contribution sometimes, but the standard and examinable formation is C5–T1.",EASY,anatomy;brachial-plexus;year1
"Which structure passes through the foramen magnum?","Spinal cord / medulla junction","Internal carotid artery","Optic nerve","Facial nerve",a,"Correct answer: Spinal cord / medulla junction. At the foramen magnum, the medulla oblongata continues as the spinal cord, and structures such as the vertebral arteries and spinal roots of CN XI also pass here. The internal carotid artery does not use the foramen magnum; it enters the skull through the carotid canal. The optic nerve (CN II) passes through the optic canal with the ophthalmic artery. The facial nerve (CN VII) travels through the internal acoustic meatus and exits via the stylomastoid foramen, not the foramen magnum.",MEDIUM,anatomy;skull;year1
"Femoral nerve injury most characteristically weakens:","Knee extension","Hip abduction","Ankle plantarflexion","Wrist extension",a,"Correct answer: Knee extension. The femoral nerve supplies the quadriceps femoris, so injury causes marked weakness of knee extension and often loss of the knee jerk. Hip abduction is mainly by gluteus medius/minimus via the superior gluteal nerve, so that option is wrong. Ankle plantarflexion is tibial nerve territory (gastrocnemius/soleus), not femoral. Wrist extension is an upper-limb radial nerve function and is unrelated to femoral nerve injury.",MEDIUM,anatomy;lower-limb;year1
"Which chamber forms most of the sternocostal (anterior) surface of the heart?","Right ventricle","Left ventricle","Right atrium","Left atrium",a,"Correct answer: Right ventricle. In the normal anatomical position, the right ventricle forms most of the anterior (sternocostal) surface of the heart facing the chest wall. The left ventricle forms most of the diaphragmatic/inferior surface and the apex, so it is not the main anterior chamber. The right atrium contributes to the right border more than the broad anterior surface. The left atrium is largely posterior and forms most of the base of the heart, so it is not the correct anterior surface answer.",EASY,anatomy;heart;year1
"The portal vein is typically formed by the union of:","Superior mesenteric and splenic veins","Inferior vena cava and hepatic veins","Left and right renal veins","Azygos and hemiazygos veins",a,"Correct answer: Superior mesenteric and splenic veins. The hepatic portal vein is formed behind the neck of the pancreas by union of the superior mesenteric vein and the splenic vein (often with inferior mesenteric joining the splenic). IVC and hepatic veins are systemic venous return from the liver to the heart, not portal formation. Left and right renal veins drain to the IVC and do not form the portal vein. Azygos and hemiazygos belong to the thoracic systemic venous system, not the portal circulation.",MEDIUM,anatomy;abdomen;year1
"Which cranial nerve carries parasympathetic fibers to the sphincter pupillae?","Oculomotor (CN III)","Trochlear (CN IV)","Abducens (CN VI)","Optic (CN II)",a,"Correct answer: Oculomotor (CN III). Preganglionic parasympathetic fibers travel with CN III to the ciliary ganglion, then short ciliary nerves reach sphincter pupillae for pupil constriction (miosis). Trochlear (CN IV) is purely somatic motor to superior oblique and has no parasympathetic component. Abducens (CN VI) only supplies lateral rectus and likewise has no autonomic fibers. Optic (CN II) is sensory for vision and carries the afferent limb of the light reflex, but the efferent parasympathetic limb is via CN III.",MEDIUM,anatomy;cranial-nerves;year1
"In adults, the spinal cord usually ends at vertebral level:","L1–L2","L3–L4","S1–S2","T10–T11",a,"Correct answer: L1–L2. In adults the conus medullaris usually ends at the lower border of L1 or the L1–L2 disc; below this, nerve roots continue as the cauda equina. L3–L4 is more typical of the neonatal/infant cord level, not the adult. S1–S2 relates to the lower extent of the dural sac (around S2), not the cord itself. T10–T11 is too high for the adult cord terminus and would be incorrect in standard MBBS answers.",EASY,anatomy;spinal-cord;year1
"Which muscle is the primary abductor of the arm at the shoulder (15–90 degrees)?","Deltoid","Teres major","Pectoralis major","Latissimus dorsi",a,"Correct answer: Deltoid. The middle fibers of deltoid are the main abductors of the arm from about 15° to 90°. Supraspinatus initiates the first ~15°, then deltoid takes over. Teres major adducts and internally rotates the arm, so it is the opposite action. Pectoralis major is a powerful adductor and medial rotator of the arm, not an abductor. Latissimus dorsi extends, adducts and internally rotates the humerus; choosing it as abductor is a common mistake but functionally incorrect.",EASY,anatomy;upper-limb;year1
"Surfactant in the lungs is produced mainly by:","Type II pneumocytes","Type I pneumocytes","Clara/club cells only","Alveolar macrophages",a,"Correct answer: Type II pneumocytes. Type II alveolar epithelial cells synthesize and secrete pulmonary surfactant, which lowers alveolar surface tension and prevents collapse. Type I pneumocytes form the thin gas-exchange barrier and do not produce surfactant. Club (Clara) cells secrete in bronchioles and have protective roles, but they are not the main source of alveolar surfactant tested in this MCQ. Alveolar macrophages clear debris and pathogens; they do not produce surfactant.",MEDIUM,anatomy;respiratory;year1
